	JUNE		JULY		August		SEP		OCT		NOV		DEC		JAN		FEB		MARCH		APRIL		MAY		JUNE		JULY		AUGUST		SEPTEMBER						
	MARKETING	Column 9	MARKETING	Column 10	MARKETING	Column 11	MARKETING	Column 12	MARKETING	Column 13	MARKETING	Column 14	MARKETING	Column 15	MARKETING	Column 16	MARKETING	Column 17	MARKETING	Column 18	MARKETING	Column 19	Column 27	Column 20	MARKETING	Column 21	MARKETING	Column 22	MARKETING	Column 23	MARKETING	Column 24	Column 33	Column 34	Column 35	Column 36	Column 37
																																					
	CLB A.I BOT 3 - MONTHLY	500.00	BHQ A.I BOT 5 - 29.7.2024 	1,500.00	BHQ - 29.8.2024 	1,500.00	BHQ A.I BOT 5 - 29.9.2024 	1,500.00	BHQ A.I BOT 5 - 29.10.2024 	688.00	BHQ A.I BOT 5 - 29.11.2024 	500.00	BHQ A.I BOT 5 - 29.12.2024 	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th	500.00	BHQ A.I BOT 5 - 29th		BHQ A.I BOT 5 - 29th		BHQ A.I BOT 5 - 29th						
	BHQ A.I BOT 5 - MONTHLY	1,500.00	GL A.I BOT 6 - 4.7.2024	484.00	MSU - 10.8.2024 	500.00	CNB - 8.8.2024 - 1.8.2024		CNB - 8.8.2024 - 8.1.2024		CNB - 8.8.2024 - 8.1.2024		CNB - 8.8.2024 - 8.1.2024		CNB - 8.1 - 8.1.2026	5,453.60	CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026		CNB - 8.1 - 8.1.2026						
	GL A.I BOT 6 - MONTHLY	500.00	TTC A.I BOT 9 - 15.7.2024	400.00	MSU APEL - 25.8.2024	500.00	ZAHIN TRAVEL - 15.9.2024 	688.00	ZAHIN TRAVEL - 15.10.2024 	688.00	ZAHIN TRAVEL - 15.10.2024 	688.00	ZAHIN TRAVEL - 15.10.2024 	688.00	ZAHIN TRAVEL - 15.10.2024 	688.00	ZAHIN TRAVEL - 15.10.2024 	688.00																			
	AQ A.I BOT 7 - MONTHLY	400.00	MSU - 1.7.2024 	688.00	CNB - 8.8.2024 - 1.8.2024	3,096.00	BINA - 5.9.2024	150.00	FITPROPELLA - NA						HAJOON - 15th		NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00	NTRM - 13th	300.00					
	ARUL A.I BOT 3 - MONTHLY	500.00	APPLY RADAR - 11.7.24 	500.00	FIRST PRINT - 20.8.2024	688.00	VISTA - 5.9.2024	688.00	BINA - 5.10.2024	150.00	BINA - 5.10.2024	150.00	HAJOON - 15.10.2024	168.00	NTRM - 13th	300.00																					
	TTC A.I BOT 9 - MONTHLY	800.00	MSU APEL	500.00	FITPROPELLA - 29.8.2024	688.00	HAJOON - 6.9.2024	150.00	VISTA - NA				NTRM - 13.10.2024	300.00	ZAHIN TRAVEL (CSD) - 18th	1,250.00	ZAHIN TRAVEL (CSD) - 18th	1,250.00	ZAHIN TRAVEL (CSD) - 18th	1,250.00																	
	CNB - MONTHLY 28.6.2024	688.00	ZAHIN TRAVEL - 29.7.2024 	688.00	UNBAN - MSU	70.00	DESITE CREATION - WHITELABEL	400.00	HAJOON - 10.10.2024	150.00	HAJOON - 10.10.2024	150.00	ZAHIN TRAVEL (CSD) - 18.10	1,250.00	DC lilyng - 19th	150.00	DC lilyng - 19th																				
							NTRM - 	300.00	NTRM - 13.10.2024	300.00	NTRM - 13.10.2024	300.00	DESITE CREATION lilyng - 19.10	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00	DC NT - 23th	150.00					
